figure,panel,linked_supplement,current_content,scientific_claim,source_asset,subset_rule,observational_unit,n_observations,transformation_or_test,reviewer_request,planned_action,legend_status,code_status,owner,status,notes
FigureS5,B,Figure5B,"absent","ranked Epi-Front LR pairs","Figure5C_LR_sender_receiver_permutation.tsv","registered 19dpb Epi-Front","pair-level permutation","candidate pairs in table","permutation/FDR","compact dot plot","generate evidence-aligned dot plot","provisional","table available",Codex,"Ready with caveat","highlight IGFL1-IGFLR1 as candidate, not direct binding"
FigureS5,C,Figure5B,"absent","CellChat/CellPhoneDB communication strength","none located","Epi-Front populations","biological sample","unknown","method-specific inference","compact heatmap","do not fabricate substitute","locked","analysis object/code absent",User,"Blocked: source data","need CellChat/CellPhoneDB object or authorize panel replacement"
FigureS5,D,Figure5D,"absent","additional-section spatial features","all-slice spatial outputs","only explicit 11 registered Stereo-seq IDs","section","up to 11 registered sections","descriptive spatial feature plots","matched map size","select representative registered sections with stated rule","provisional","derivatives available",Codex,"Ready after selection rule","exclude non-project 6mph/9mph files"
FigureS5,E,Figure5E,"absent","independent IF validation","slide7 image58 only","independent wound specimens","specimen/field","unknown","qualitative","matched image size","retain only after provenance confirmation","locked","raw images absent",User,"Blocked: provenance","need independent-specimen raw images and metadata"
FigureS5,F,Figure5E,"absent","shorter microscopy NN distances","ST transcriptomic proxy table only","19dpb and 19dpb_p1","section","2 sections","spatial permutation","stars only if supported","do not label ST proxy as IF; current result is ns/opposite direction","requires scientific rewrite","proxy table available",User/Codex,"Blocked: source data/approval","actual microscopy coordinates absent; proxy observed distances are longer than permutation means"
FigureS5,G,Figure5F,"absent","IGFL1 viability/proliferation control","none located","tested IGFL1 doses","independent experiment","unknown","t-test/Mann-Whitney only after design check","compact assay panel","rebuild from raw CCK-8/EdU table","locked","source absent",User,"Blocked: source data","cannot assert P>0.05 or no cytotoxicity without data"
FigureS5,H,Figure5F,"summary bars in AI","dose-response qPCR","experimental AI preview/image55","IGFL1 dose series","independent experiment","unknown","dose-response model/test","gene labels italic","rebuild from replicate-level table","locked","raw table absent",User,"Blocked: source data","do not infer raw values from bar pixels"
FigureS5,I,Figure5G,"summary bar in AI","KRT14/KRT5 among GFP-positive cells","experimental AI preview/image55","IGFL1 vs PBS","independent experiment/field","unknown","two-group test","pair with microscopy","rebuild from raw numerator/denominator or replicate percentages","locked","raw counts absent",User,"Blocked: source data","existing *** is unverified"
FigureS5,J,Figure5H,"absent","morphometric remodeling","none located","IGFL1 vs control","cell nested in experiment","unknown","hierarchical/mixed model or experiment summaries","four aligned metrics","generate from per-cell table","locked","source absent",User,"Blocked: source data","need area circularity aspect ratio length and experiment ID"
FigureS5,K,Figure5I,"absent","IGFL1-treated RNA-seq DE","none located","IGFL1 vs control","biological replicate","unknown","DE model with FDR","compact volcano","generate from count matrix and metadata/DE table","locked","source absent",User,"Blocked: source data","no RNA-seq evidence located"
FigureS5,L,Figure5I,"absent","GSEA epithelial/KLF4 programs","none located","same RNA-seq contrast","gene set/enrichment","unknown","FDR-corrected GSEA","aligned enrichment plots","generate from ranked list and gene sets/results","locked","source absent",User,"Blocked: source data","no ranked list or GSEA output located"
FigureS5,M,Figure5I,"absent","supporting model","none","observed vs inferred vs proposed encoded visually","conceptual synthesis","NA","no statistical test","small clean model","derive after Figure5I approval","keep identity","not started",User/Codex,"Blocked: approval","must not imply direct KLF4 activation"
